report_id,period_label,series_name,metric_kind,value
racebox,1月,US,segment_units,58
racebox,2月,US,segment_units,52
racebox,3月,US,segment_units,88
racebox,4月,US,segment_units,100
racebox,5月,US,segment_units,119
racebox,6月,US,segment_units,106
racebox,7月,US,segment_units,71
racebox,8月,US,segment_units,81
racebox,9月,US,segment_units,119
racebox,10月,US,segment_units,79
racebox,11月,US,segment_units,121
racebox,12月,US,segment_units,256
racebox,1月,DE,segment_units,65
racebox,2月,DE,segment_units,70
racebox,3月,DE,segment_units,63
racebox,4月,DE,segment_units,69
racebox,5月,DE,segment_units,66
racebox,6月,DE,segment_units,55
racebox,7月,DE,segment_units,53
racebox,8月,DE,segment_units,58
racebox,9月,DE,segment_units,49
racebox,10月,DE,segment_units,74
racebox,11月,DE,segment_units,55
racebox,12月,DE,segment_units,66
racebox,1月,UK,segment_units,22
racebox,2月,UK,segment_units,23
racebox,3月,UK,segment_units,33
racebox,4月,UK,segment_units,33
racebox,5月,UK,segment_units,21
racebox,6月,UK,segment_units,13
racebox,7月,UK,segment_units,33
racebox,8月,UK,segment_units,34
racebox,9月,UK,segment_units,36
racebox,10月,UK,segment_units,30
racebox,11月,UK,segment_units,46
racebox,12月,UK,segment_units,41
racebox,1月,FR,segment_units,25
racebox,2月,FR,segment_units,10
racebox,3月,FR,segment_units,23
racebox,4月,FR,segment_units,28
racebox,5月,FR,segment_units,27
racebox,6月,FR,segment_units,34
racebox,7月,FR,segment_units,28
racebox,8月,FR,segment_units,27
racebox,9月,FR,segment_units,22
racebox,10月,FR,segment_units,12
racebox,11月,FR,segment_units,13
racebox,12月,FR,segment_units,13
bushnell,25/01,sales,units,1024
bushnell,25/02,sales,units,1073
bushnell,25/03,sales,units,1640
bushnell,25/04,sales,units,1762
bushnell,25/05,sales,units,1966
bushnell,25/06,sales,units,1854
bushnell,25/07,sales,units,2032
bushnell,25/08,sales,units,957
bushnell,25/09,sales,units,1224
bushnell,25/10,sales,units,1343
bushnell,25/11,sales,units,1602
bushnell,25/12,sales,units,1523
bushnell,26/01,sales,units,846
bushnell,26/02,sales,units,887
bushnell,26/03,sales,units,1319
bushnell,26/04*,sales,units,435
bushnell,25/01,rev,revenue,115702
bushnell,25/02,rev,revenue,123470
bushnell,25/03,rev,revenue,187118
bushnell,25/04,rev,revenue,204156
bushnell,25/05,rev,revenue,234086
bushnell,25/06,rev,revenue,244208
bushnell,25/07,rev,revenue,252144
bushnell,25/08,rev,revenue,162820
bushnell,25/09,rev,revenue,154061
bushnell,25/10,rev,revenue,187164
bushnell,25/11,rev,revenue,211612
bushnell,25/12,rev,revenue,232985
bushnell,26/01,rev,revenue,126866
bushnell,26/02,rev,revenue,133015
bushnell,26/03,rev,revenue,187143
bushnell,26/04*,rev,revenue,59624
bushnell,25/01,price,price,113
bushnell,25/02,price,price,115
bushnell,25/03,price,price,116
bushnell,25/04,price,price,116
